txn_seq,category,order_id,payment_id,utr,invoice_id,expected_resolution,notes
1,clean_match,order_NbrnTP3fAbnFbm,pay_OHnKYaXRvj7uff,4190268310679883,INV-2026-0001,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
2,clean_match,order_CZkwPRQeNHpCq5,pay_QnuVdYXye4JSnE,2525832950016740,INV-2026-0002,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
3,clean_match,order_x9G81aSQHqNgAC,pay_72qFl41sNLjVHW,0988308904077145,INV-2026-0003,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
4,clean_match,order_q2AnHTmt9OBGhn,pay_uKoneNo41eoPni,7810444769043821,INV-2026-0004,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
5,clean_match,order_BArp5B1Id9Z850,pay_kEnydx9qWCA79I,9557055819015621,INV-2026-0005,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
6,clean_match,order_3pKMzKG5mSoyPs,pay_tUeC99enq522wj,5659182871223685,INV-2026-0006,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
7,clean_match,order_p4dNZcui8kBRIg,pay_6QjcwIAcw58cwQ,8979217141974672,INV-2026-0007,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
8,clean_match,order_jRxcDm4vY2nOyr,pay_eVvFQ0ub2qJ8cK,1810458697149966,INV-2026-0008,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
9,clean_match,order_h3FPuRIlPxUkJz,pay_ZsnWLtBPFX7TOr,2381096748573316,INV-2026-0009,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
10,clean_match,order_312WnXRCI4hiCG,pay_ItUBY3A4Bj1BU0,2022351267045424,INV-2026-0010,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
11,clean_match,order_4KR1VxavU07zUH,pay_LnnBbuQzkChMby,1403237378200593,INV-2026-0011,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
12,clean_match,order_OWOU6mbjhPInRV,pay_kLUhY7gbtP7ySe,3687505606044438,INV-2026-0012,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
13,clean_match,order_CjkGOM5WCZKtp5,pay_rBUJPuEuEvqrK2,7476647026354547,INV-2026-0013,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
14,clean_match,order_uRqphlhHVlnES8,pay_GrgmolaHr8IRh1,4392810456189025,INV-2026-0014,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
15,clean_match,order_zKMWx4sKAJd7gV,pay_MqfoIjzQDcrr1e,5811212107589443,INV-2026-0015,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
16,clean_match,order_yqHBL3TLboP1Kb,pay_VYJVkGBr9BY8Dz,4464700217880840,INV-2026-0016,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
17,clean_match,order_GMEBdqir2EbNXS,pay_tazn0h6Oj5sRzD,1571078372078568,INV-2026-0017,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
18,clean_match,order_BEuVx518ox1ztD,pay_4x9XOj7h7ug0g4,9072630365968456,INV-2026-0018,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
19,clean_match,order_oQrof8VRgksbud,pay_wApzQlkLxQEKoN,9614356428134255,INV-2026-0019,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
20,clean_match,order_9s8OrJQUdLE4rX,pay_LvNMQSOZM4OtBJ,7115959828487319,INV-2026-0020,matched_layer1_2,"Standard match: exact keys + fee formula, on-time settlement."
21,timing_difference,order_i71S87XwXaHCPP,pay_KY6gob2I4ndZ4s,1253396557868692,INV-2026-0021,matched_extended_window,"Settlement landed 9 days after capture -- true match, but a naive fixed date-window join will miss it."
22,timing_difference,order_QnBow8w3Ndr86Z,pay_fnN8du9WmZIKYo,8112160072310757,INV-2026-0022,matched_extended_window,"Settlement landed 8 days after capture -- true match, but a naive fixed date-window join will miss it."
23,timing_difference,order_DWFgF6cW1GC7dD,pay_yQE4efLerNHu9G,8677242344046319,INV-2026-0023,matched_extended_window,"Settlement landed 6 days after capture -- true match, but a naive fixed date-window join will miss it."
24,timing_difference,order_eZffTYIKIuhvPU,pay_1S8LvJnOng0wVJ,6566602793116079,INV-2026-0024,matched_extended_window,"Settlement landed 10 days after capture -- true match, but a naive fixed date-window join will miss it."
25,timing_difference,order_fGxCjtu6K2jUdf,pay_BALznFvgQKGtn9,7214415256337440,INV-2026-0025,matched_extended_window,"Settlement landed 7 days after capture -- true match, but a naive fixed date-window join will miss it."
26,timing_difference,order_tAzNrz7k6CQwBg,pay_Bye1UnWeNGmWv7,1676174774956686,INV-2026-0026,matched_extended_window,"Settlement landed 8 days after capture -- true match, but a naive fixed date-window join will miss it."
27,fee_tds_deduction,order_jeBsrdFtCdZe11,pay_MFCIX3BYOtDjdg,6079563937606335,INV-2026-0027,exception_fee_mismatch,Settlement is short by an extra Rs.784.43 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
28,fee_tds_deduction,order_xp07LjfP4tOPhR,pay_fINuhR694fPFbt,2108178803713187,INV-2026-0028,exception_fee_mismatch,Settlement is short by an extra Rs.818.26 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
29,fee_tds_deduction,order_YkBzPoBrUBHtYD,pay_Zw69CrxG7YXipN,8827291492430052,INV-2026-0029,exception_fee_mismatch,Settlement is short by an extra Rs.768.18 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
30,fee_tds_deduction,order_9xb50OXirZRiRB,pay_aepZITGgrscAXC,6572035165395750,INV-2026-0030,exception_fee_mismatch,Settlement is short by an extra Rs.272.06 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
31,fee_tds_deduction,order_2cxxUweoOgKUiv,pay_uNZQ8DliS6cmX2,5271378313878394,INV-2026-0031,exception_fee_mismatch,Settlement is short by an extra Rs.405.14 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
32,fee_tds_deduction,order_E5GXTeLYHteOtL,pay_AQvc1v9r86eNwX,6412639014340133,INV-2026-0032,exception_fee_mismatch,Settlement is short by an extra Rs.641.62 not explained by the standard fee formula -- likely an unreflected TDS deduction. Needs Layer 3/4 reasoning.
33,duplicate_entry,order_r7blG4hWRnLR9m,pay_iekS9Y79PRIssj,2972435491803744,INV-2026-0033,exception_duplicate,"Same payment logged twice in the gateway source (double webhook). Only one real settlement/ledger entry exists -- must be deduplicated, not double-counted."
34,duplicate_entry,order_Ze8NBQv2WNl7A4,pay_dhjkuRv630pNIh,1916768580065674,INV-2026-0034,exception_duplicate,"Same payment logged twice in the gateway source (double webhook). Only one real settlement/ledger entry exists -- must be deduplicated, not double-counted."
35,duplicate_entry,order_b3HNspYzCQjzCv,pay_i1t9vyVFgohBid,1353745430959230,INV-2026-0035,exception_duplicate,"Same payment logged twice in the gateway source (double webhook). Only one real settlement/ledger entry exists -- must be deduplicated, not double-counted."
36,duplicate_entry,order_L0PragiqwzcdIw,pay_rxBIZMLhfx9Iwi,0785181933685554,INV-2026-0036,exception_duplicate,"Same payment logged twice in the gateway source (double webhook). Only one real settlement/ledger entry exists -- must be deduplicated, not double-counted."
37,duplicate_entry,order_sYwP8KXSQbD7WW,pay_JSKkMM0jQb6gbt,6487755943945568,INV-2026-0037,exception_duplicate,"Same payment logged twice in the gateway source (double webhook). Only one real settlement/ledger entry exists -- must be deduplicated, not double-counted."
38,missing_settlement,order_NQLlpIn8srmRtv,pay_5XqhPx8Y7XsrSv,,INV-2026-0038,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
39,missing_settlement,order_mH5RiMKpPGNdzS,pay_gVaI5z52Dm7tO4,,INV-2026-0039,exception_pending_settlement,"Captured too recently for settlement to have landed as of the dataset's as-of date. Not a real problem -- should be flagged 'pending', not 'lost'."
